slug,title,publishDate,lastUpdated,wordCount,citationCount,internalLinksOutDossiers,internalLinksOutBlogs,internalLinksOutTotal,appRelatedLinks,inboundInternalLinks,metaTitleLength,metaDescriptionLength,hasStaleFigureRisk,staleFigureDetail,intent,gscImpressions,gscClicks,gscPosition,priorityScore,verdict,notes
tesamorelin-safety,Tesamorelin Safety Profile,2025-06-27,2025-06-27,163,3,1,0,3,0,0,45,132,N,,educational,0,0,,0,retire-301,"163w, zero impressions in 177 days; 14mo old + ""ongoing/expected"" language"
thymosin-alpha-1-aging-immunosenescence,Thymosin Alpha-1 and Aging: Understanding Immunosenescence and Immune Restoration,2025-06-21,,940,3,2,0,5,0,0,49,142,N,,research,0,0,,0,refresh,"14mo old, zero impressions; no lastUpdated"
thymulin-vaccine-response,Research Shows Thymulin Peptide Enhances Vaccine Response in Elderly,2026-01-09,,692,3,3,0,6,0,0,45,140,N,,news,0,0,,0,keep,"no demand signal yet, content bar met; no lastUpdated"
tirzepatide-cancer-incidence,Tirzepatide Shows Reduced Cancer Incidence in Observational Study,2026-01-27,,796,3,3,0,7,0,0,44,144,N,,news,0,0,,0,keep,"no demand signal yet, content bar met; 7mo old + ""ongoing/expected"" language; no lastUpdated"
tirzepatide-safety,Tirzepatide Safety Profile,2025-08-16,2025-08-16,407,3,1,0,3,0,0,42,141,N,,educational,0,0,,0,retire-301,"407w, zero impressions in 177 days"
tirzepatide-summit-heart-failure,Tirzepatide Shows Heart Failure Benefits in SUMMIT Trial,2025-09-29,,1024,3,3,0,6,0,0,48,154,WATCH,"CLEARED - 15.7% is SUMMIT trial weight loss, not SURMOUNT-2 | table row carries the estimand without the prose caveat",news,0,0,,0,refresh,"11mo old, zero impressions; no lastUpdated"
unregulated-peptides-safety,General Safety: Unregulated Peptides,2025-07-30,2025-07-30,187,3,0,0,2,0,0,53,135,N,,educational,0,0,,0,retire-301,"187w, zero impressions in 177 days; links to no dossier"
what-are-gh-secretagogues,What Are GH Secretagogues?,2025-09-22,2025-09-22,347,3,4,0,8,0,0,39,138,N,,commercial,0,0,,0,retire-301,"347w, zero impressions in 177 days"
what-are-glp1-agonists,What Are GLP-1 Agonists?,2025-09-26,2025-09-26,175,4,2,0,5,0,0,46,139,N,,commercial,0,0,,0,retire-301,"175w, zero impressions in 177 days"
what-are-longevity-peptides,What Are Longevity Peptides?,2025-06-11,2025-06-11,457,3,2,0,4,0,0,49,137,N,,commercial,0,0,,0,retire-301,"457w, zero impressions in 177 days"
what-are-nootropic-peptides,What Are Nootropic Peptides?,2025-09-08,2025-09-08,412,3,1,0,3,0,0,48,132,N,,commercial,0,0,,0,retire-301,"412w, zero impressions in 177 days"
what-are-recovery-peptides,What Are Recovery Peptides?,2025-08-06,2025-08-06,379,3,3,0,5,0,0,50,140,N,,commercial,0,0,,0,retire-301,"379w, zero impressions in 177 days"
what-is-bpc-157,What is BPC-157?,2025-10-15,2025-10-15,196,3,1,0,3,0,0,43,122,N,,commercial,0,0,,0,retire-301,"196w, zero impressions in 177 days"
what-is-dihexa,What is Dihexa?,2025-06-07,2025-06-07,381,3,1,0,3,0,0,39,131,N,,commercial,0,0,,0,retire-301,"381w, zero impressions in 177 days"
what-is-epithalon,What is Epithalon?,2025-10-01,2025-10-01,281,3,1,0,3,0,0,43,146,N,,commercial,0,0,,0,retire-301,"281w, zero impressions in 177 days"
what-is-humanin,What is Humanin?,2025-07-05,2025-07-05,315,3,1,0,3,0,0,48,153,N,,commercial,0,0,,0,retire-301,"315w, zero impressions in 177 days"
what-is-ll-37,What is LL-37?,2025-10-27,2025-10-27,244,3,1,0,3,0,0,45,154,N,,commercial,0,0,,0,retire-301,"244w, zero impressions in 177 days"
what-is-melanotan,What is Melanotan II?,2025-06-04,2025-06-04,183,3,1,0,3,0,0,21,91,N,,commercial,0,0,,0,retire-301,"183w, zero impressions in 177 days"
what-is-mounjaro,What is Mounjaro?,2025-11-17,2025-11-17,333,3,1,0,4,0,0,42,138,N,,commercial,0,0,,0,retire-301,"333w, zero impressions in 177 days"
what-is-pt-141,What is PT-141?,2025-06-13,2025-06-13,156,3,1,0,3,0,0,31,92,N,,commercial,0,0,,0,retire-301,"156w, zero impressions in 177 days"
what-is-retatrutide,What is Retatrutide?,2025-09-29,2025-09-29,144,3,1,0,4,0,0,20,93,N,,commercial,0,0,,0,retire-301,"144w, zero impressions in 177 days"
what-is-semaglutide,What is Semaglutide?,2025-10-18,2025-10-18,190,3,1,0,4,0,0,47,136,N,,commercial,0,0,,0,retire-301,"190w, zero impressions in 177 days"
what-is-sermorelin,What is Sermorelin?,2025-07-14,2025-07-14,265,3,1,0,3,0,0,44,152,N,,commercial,0,0,,0,retire-301,"265w, zero impressions in 177 days"
what-is-thymalin,What is Thymalin?,2025-07-02,2025-07-02,293,3,1,0,3,0,0,42,159,N,,commercial,0,0,,0,retire-301,"293w, zero impressions in 177 days"
what-is-tirzepatide,What is Tirzepatide?,2025-08-08,2025-08-08,740,3,1,1,7,0,0,39,151,N,,commercial,0,0,,0,refresh,"12mo old, zero impressions"
why-animal-studies-arent-enough,Why Animal Studies Aren't Enough,2025-11-08,2025-11-08,305,3,0,0,3,0,0,32,102,N,,commercial,0,0,,0,retire-301,"305w, zero impressions in 177 days; links to no dossier"
